Geographic Area Name [0],State [1],Type [2],Population (2020) [3],CENTLAT [4],CENTLON [5],Nearest 5K+ city,Nearest 5K+ distance
Abanda CDP,Alabama,CDP,133,33.0926225,-85.5253404,Loading...,9.73319322
Alexandria CDP,Alabama,CDP,4032,33.7674763,-85.8792079,Loading...,Loading...
Axis CDP,Alabama,CDP,561,30.9296328,-88.0179185,Loading...,Loading...
Ballplay CDP,Alabama,CDP,1437,34.0178636,-85.7852315,Loading...,Loading...
Belgreen CDP,Alabama,CDP,170,34.4767572,-87.8652868,Loading...,Loading...
Bellamy CDP,Alabama,CDP,363,32.4581979,-88.1276914,Loading...,Loading...
Belle Fontaine CDP,Alabama,CDP,613,30.4919083,-88.1106226,Loading...,Loading...
Blue Ridge CDP,Alabama,CDP,1485,32.5010336,-86.1839011,Loading...,Loading...
Bon Secour CDP,Alabama,CDP,1754,30.3222632,-87.7271598,Loading...,Loading...
Boykin CDP,Alabama,CDP,208,32.0695705,-87.2915204,Loading...,Loading...
Brantleyville CDP,Alabama,CDP,931,33.2195558,-86.8820261,Loading...,Loading...
Bristow Cove CDP,Alabama,CDP,624,34.109216,-86.2409934,Loading...,Loading...
Brook Highland CDP,Alabama,CDP,7406,33.4359087,-86.6848543,Loading...,Loading...
Broomtown CDP,Alabama,CDP,160,34.3657277,-85.5321123,Loading...,Loading...
Bucks CDP,Alabama,CDP,22,31.0168992,-88.0249347,Loading...,Loading...
Calvert CDP,Alabama,CDP,255,31.1539534,-88.0169717,Loading...,Loading...
Carlisle-Rockledge CDP,Alabama,CDP,2167,34.1140316,-86.1190703,Loading...,Loading...
Carlton CDP,Alabama,CDP,46,31.3430439,-87.8377924,Loading...,Loading...
Catherine CDP,Alabama,CDP,65,32.1861704,-87.4699781,Loading...,Loading...
Choccolocco CDP,Alabama,CDP,2838,33.6682951,-85.7128956,Loading...,Loading...
Chunchula CDP,Alabama,CDP,195,30.9237244,-88.2071771,Loading...,Loading...
Coats Bend CDP,Alabama,CDP,1318,34.077397,-85.8742214,Loading...,Loading...
Concord CDP,Alabama,CDP,1690,33.4673944,-87.0391374,Loading...,Loading...
Cottondale CDP,Alabama,CDP,3130,33.1922686,-87.4541941,Loading...,Loading...
Cullomburg CDP,Alabama,CDP,126,31.713061,-88.2917744,Laurel cityMississippi,Loading...
Deer Park CDP,Alabama,CDP,141,31.2198289,-88.3225847,Loading...,Loading...
Delta CDP,Alabama,CDP,260,33.4470229,-85.6746173,Loading...,Loading...
Dunnavant CDP,Alabama,CDP,936,33.4977986,-86.5420446,Loading...,Loading...
Eagle Point CDP,Alabama,CDP,2903,33.3937617,-86.6778908,Loading...,Loading...
East Point CDP,Alabama,CDP,172,34.1857355,-86.7928841,Loading...,Loading...
Edgewater CDP,Alabama,CDP,746,33.5286034,-86.9573921,Loading...,Loading...
Egypt CDP,Alabama,CDP,845,34.0759381,-86.1650536,Loading...,Loading...
Emerald Mountain CDP,Alabama,CDP,3310,32.4396186,-86.0857167,Loading...,Loading...
Equality CDP,Alabama,CDP,150,32.7634402,-86.1059259,Loading...,Loading...
Eunola CDP,Alabama,CDP,284,31.0325464,-85.8408465,Loading...,Loading...
Fairford CDP,Alabama,CDP,161,31.1780024,-88.072784,Loading...,Loading...
Fayetteville CDP,Alabama,CDP,1422,33.1642677,-86.4411356,Loading...,Loading...
Fitzpatrick CDP,Alabama,CDP,79,32.2112894,-85.878407,Loading...,Loading...
Forestdale CDP,Alabama,CDP,10409,33.5737045,-86.8999884,Loading...,Loading...
Fort Rucker CDP,Alabama,CDP,4464,31.3428514,-85.7154133,Loading...,Loading...
Fredonia CDP,Alabama,CDP,198,32.9860982,-85.2911987,Loading...,Loading...
Fruitdale CDP,Alabama,CDP,175,31.3428605,-88.4108405,Loading...,Loading...
Gallant CDP,Alabama,CDP,869,34.0013232,-86.2303749,Loading...,Loading...
Graham CDP,Alabama,CDP,196,33.4551913,-85.3230847,Loading...,Loading...
Grand Bay CDP,Alabama,CDP,3460,30.471674,-88.3450084,Loading...,Loading...
Grayson Valley CDP,Alabama,CDP,5982,33.6466146,-86.641632,Loading...,Loading...
Gulfcrest CDP,Alabama,CDP,142,30.9924972,-88.2399025,Loading...,Loading...
Hackneyville CDP,Alabama,CDP,349,33.0566444,-85.9312002,Loading...,9.249120381
Hanover CDP,Alabama,CDP,151,33.0028672,-86.1990049,Loading...,Loading...
Harvest CDP,Alabama,CDP,5893,34.8557657,-86.7520561,Loading...,Loading...
Hatton CDP,Alabama,CDP,244,34.5610667,-87.4135564,Loading...,Loading...
Hazel Green CDP,Alabama,CDP,4105,34.9236743,-86.5670554,Meridianville CDPAlabama,Loading...
Highland Lakes CDP,Alabama,CDP,5239,33.3972721,-86.6494443,Loading...,Loading...
Hissop CDP,Alabama,CDP,209,32.8814189,-86.1285214,Loading...,Loading...
Hobson CDP,Alabama,CDP,100,31.4836212,-88.1512859,Loading...,43.55713425
Hollins CDP,Alabama,CDP,517,33.1213286,-86.1290357,Loading...,Loading...
Hollis Crossroads CDP,Alabama,CDP,665,33.5231343,-85.6437483,Loading...,Loading...
Holt CDP,Alabama,CDP,3413,33.2302053,-87.4827717,Loading...,Loading...
Holtville CDP,Alabama,CDP,4940,32.6314102,-86.3268301,Loading...,Loading...
Huguley CDP,Alabama,CDP,2470,32.8430621,-85.2396355,Loading...,Loading...
Ivalee CDP,Alabama,CDP,946,34.0372037,-86.1471817,Loading...,Loading...
Joppa CDP,Alabama,CDP,556,34.2981488,-86.5506329,Loading...,Loading...
Ladonia CDP,Alabama,CDP,3074,32.460866,-85.0877413,Loading...,Loading...
Leroy CDP,Alabama,CDP,766,31.495176,-87.9690125,Loading...,Loading...
Lillian CDP,Alabama,CDP,1330,30.4122312,-87.4319799,Loading...,Loading...
Lookout Mountain CDP,Alabama,CDP,1484,34.109094,-85.958558,Loading...,Loading...
Macedonia CDP,Alabama,CDP,241,33.403139,-88.239221,Loading...,Loading...
Malcolm CDP,Alabama,CDP,136,31.1946095,-88.0015787,Loading...,Loading...
Marbury CDP,Alabama,CDP,1427,32.6792899,-86.4607467,Loading...,Loading...
McCalla CDP,Alabama,CDP,12965,33.3023323,-87.0301541,Loading...,Loading...
McDonald Chapel CDP,Alabama,CDP,739,33.5188918,-86.9385248,Loading...,Loading...
Meadowbrook CDP,Alabama,CDP,9688,33.3934934,-86.7040684,Loading...,Loading...
Megargel CDP,Alabama,CDP,60,31.3781413,-87.4306492,Loading...,Loading...
Meridianville CDP,Alabama,CDP,8209,34.8728862,-86.5722081,Loading...,Loading...
Mignon CDP,Alabama,CDP,1186,33.1949413,-86.2649983,Loading...,1.194523326
Millerville CDP,Alabama,CDP,303,33.1925928,-85.9302493,Loading...,Loading...
Minor CDP,Alabama,CDP,1088,33.5390107,-86.9400731,Loading...,Loading...
Moores Mill CDP,Alabama,CDP,6729,34.8490849,-86.5221985,Loading...,Loading...
Morrison Crossroads CDP,Alabama,CDP,221,33.4197947,-85.4902733,Roanoke cityAlabama,Loading...
Mount Olive CDP (Coosa County),Alabama,CDP,311,33.0764297,-86.1333891,Loading...,Loading...
Mount Olive CDP (Jefferson County),Alabama,CDP,4427,33.6778658,-86.8727194,Loading...,Loading...
Movico CDP,Alabama,CDP,291,31.0627634,-88.0266191,Loading...,Loading...
Nanafalia CDP,Alabama,CDP,75,32.1113928,-87.9957573,Loading...,Loading...
Nances Creek CDP,Alabama,CDP,399,33.8587713,-85.6732991,Loading...,Loading...
New Market CDP,Alabama,CDP,1543,34.8892394,-86.4226224,Loading...,Loading...
New Union CDP,Alabama,CDP,1019,34.1422323,-86.2218336,Loading...,Loading...
Nixburg CDP,Alabama,CDP,329,32.8639954,-86.0975513,Loading...,Loading...
Our Town CDP,Alabama,CDP,605,32.830399,-85.9686719,Loading...,Loading...
Panola CDP,Alabama,CDP,71,32.9477808,-88.2673201,Loading...,Loading...
Pea Ridge CDP,Alabama,CDP,841,33.1454167,-86.9372005,Loading...,Loading...
Penton CDP,Alabama,CDP,163,33.0089698,-85.4721442,Loading...,Loading...
Perdido CDP,Alabama,CDP,730,31.0033173,-87.6322192,Loading...,Loading...
Peterman CDP,Alabama,CDP,87,31.5836687,-87.2630424,Loading...,Loading...
Pine Level CDP,Alabama,CDP,4885,32.5784812,-86.4523132,Loading...,Loading...
Point Clear CDP,Alabama,CDP,2076,30.4900054,-87.9107562,Loading...,Loading...
Putnam CDP,Alabama,CDP,172,32.018084,-88.0330575,Loading...,Loading...
Ray CDP,Alabama,CDP,326,32.8795184,-86.038786,Loading...,Loading...
Redland CDP,Alabama,CDP,5106,32.4753678,-86.137528,Loading...,Loading...
Redstone Arsenal CDP,Alabama,CDP,837,34.6644555,-86.6530233,Loading...,Loading...
Reeltown CDP,Alabama,CDP,794,32.5787593,-85.8189532,Loading...,Loading...
Remlap CDP,Alabama,CDP,2624,33.8049044,-86.5969907,Loading...,Loading...
Rock Creek CDP,Alabama,CDP,1471,33.477227,-87.0812493,Loading...,Loading...
Rock Mills CDP,Alabama,CDP,603,33.1563,-85.2861524,Loading...,Loading...
Rockville CDP,Alabama,CDP,47,31.405776,-87.8442122,Loading...,Loading...
Saks CDP,Alabama,CDP,9956,33.7118352,-85.8535907,Loading...,Loading...
Selmont-West Selmont CDP,Alabama,CDP,2158,32.37843,-87.0073961,Selma cityAlabama,Loading...
Shelby CDP,Alabama,CDP,940,33.1068407,-86.5824953,Loading...,Loading...
Shoal Creek CDP,Alabama,CDP,1668,33.4328083,-86.6071532,Loading...,Loading...
Sims Chapel CDP,Alabama,CDP,145,31.2364984,-88.1435637,Loading...,26.59897744
Smoke Rise CDP,Alabama,CDP,1661,33.8790716,-86.8240324,Loading...,Loading...
Spring Garden CDP,Alabama,CDP,216,33.9729652,-85.5557564,Loading...,Loading...
Spruce Pine CDP,Alabama,CDP,215,34.3927321,-87.7294097,Loading...,Loading...
St. Stephens CDP,Alabama,CDP,415,31.5473596,-88.055556,Loading...,Loading...
Standing Rock CDP,Alabama,CDP,132,33.0862514,-85.2449919,Loading...,Loading...
Stapleton CDP,Alabama,CDP,2213,30.7394546,-87.794312,Loading...,Loading...
Sterrett CDP,Alabama,CDP,706,33.4490417,-86.4645292,Loading...,Loading...
Stewartville CDP,Alabama,CDP,1662,33.0724906,-86.2658058,Loading...,Loading...
Stockton CDP,Alabama,CDP,557,30.9946249,-87.8600247,Loading...,Loading...
Theodore CDP,Alabama,CDP,6270,30.5408158,-88.188468,Loading...,Loading...
Tibbie CDP,Alabama,CDP,55,31.3627732,-88.247052,Loading...,Loading...
Tidmore Bend CDP,Alabama,CDP,1119,34.032373,-85.9253165,Loading...,Loading...
Tillmans Corner CDP,Alabama,CDP,17731,30.5818005,-88.2128306,Loading...,Loading...
Underwood-Petersville CDP,Alabama,CDP,3051,34.8769701,-87.697469,Loading...,Loading...
Uriah CDP,Alabama,CDP,263,31.3073653,-87.4992133,Loading...,Loading...
Vandiver CDP,Alabama,CDP,1084,33.4600779,-86.5247114,Loading...,Loading...
Vinegar Bend CDP,Alabama,CDP,178,31.2594216,-88.3712356,Loading...,Loading...
Weogufka CDP,Alabama,CDP,207,33.0218191,-86.309628,Loading...,Loading...
West End-Cobb Town CDP,Alabama,CDP,3128,33.6526331,-85.8741629,Loading...,Loading...
Whatley CDP,Alabama,CDP,167,31.6463431,-87.7108364,Loading...,24.26926436
White Plains CDP,Alabama,CDP,877,33.7602914,-85.6879567,Loading...,Loading...
Whitesboro CDP,Alabama,CDP,2113,34.1681824,-86.0572624,Loading...,Loading...
Abbeville city,Alabama,INC,2358,31.5664068,-85.2527801,Loading...,Loading...
Adamsville city,Alabama,INC,4366,33.6061272,-86.9741174,Loading...,Loading...
Addison town,Alabama,INC,659,34.2016529,-87.1765685,Loading...,Loading...
Akron town,Alabama,INC,225,32.878541,-87.742856,Loading...,Loading...
Alabaster city,Alabama,INC,33284,33.2197808,-86.8224874,Loading...,Loading...
Albertville city,Alabama,INC,22386,34.263314,-86.210851,Loading...,Loading...
Alexander City city,Alabama,INC,14843,32.9228363,-85.935757,Loading...,Loading...
Aliceville city,Alabama,INC,2177,33.1237058,-88.1593444,Loading...,Loading...
Allgood town,Alabama,INC,548,33.9063727,-86.5178337,Loading...,Loading...
Altoona town,Alabama,INC,948,34.0308034,-86.3179518,Loading...,Loading...
Andalusia city,Alabama,INC,8805,31.3101221,-86.4780905,Loading...,Loading...
Anderson town,Alabama,INC,254,34.9147483,-87.2715966,Athens cityAlabama,Loading...
Anniston city,Alabama,INC,21564,33.6712266,-85.8135377,Loading...,Loading...
Arab city,Alabama,INC,8461,34.3308583,-86.4991113,Loading...,Loading...
Ardmore town,Alabama,INC,1321,34.984717,-86.8373517,Loading...,Loading...
Argo town,Alabama,INC,4368,33.6963032,-86.5064618,Loading...,Loading...
Ariton town,Alabama,INC,662,31.5977718,-85.7130614,Loading...,Loading...
Arley town,Alabama,INC,330,34.0885477,-87.2074188,Loading...,Loading...
Ashford town,Alabama,INC,2246,31.1857624,-85.2359106,Loading...,Loading...
Ashland town,Alabama,INC,1984,33.2703605,-85.8336849,Loading...,Loading...
Ashville city,Alabama,INC,2346,33.8331067,-86.2697785,Loading...,Loading...
Athens city,Alabama,INC,25406,34.7842682,-86.9503439,Loading...,Loading...
Atmore city,Alabama,INC,8391,31.0925708,-87.4763243,Loading...,Loading...
Attalla city,Alabama,INC,5827,34.0050123,-86.1039282,Loading...,Loading...
Auburn city,Alabama,INC,76143,32.6087102,-85.4902768,Loading...,Loading...
Autaugaville town,Alabama,INC,795,32.4320466,-86.6578559,Loading...,Loading...
Avon town,Alabama,INC,465,31.1797216,-85.2790126,Loading...,Loading...
Babbie town,Alabama,INC,625,31.3022057,-86.322955,Loading...,Loading...
Baileyton town,Alabama,INC,649,34.2608102,-86.6082304,Loading...,Loading...
Bakerhill town,Alabama,INC,211,31.7769227,-85.2954084,Loading...,Loading...
Banks town,Alabama,INC,156,31.8132641,-85.8364335,Loading...,Loading...
Bay Minette city,Alabama,INC,8107,30.8929287,-87.7912225,Loading...,Loading...
Bayou La Batre city,Alabama,INC,2204,30.4125663,-88.2610326,Loading...,Loading...
Bear Creek town,Alabama,INC,1047,34.265096,-87.7164172,Loading...,Loading...
Beatrice town,Alabama,INC,204,31.7333092,-87.2090464,Loading...,16.55451621
Beaverton town,Alabama,INC,187,33.9354112,-88.0217777,Loading...,Loading...
Belk town,Alabama,INC,186,33.6516405,-87.9286102,Loading...,Loading...
Benton town,Alabama,INC,41,32.3078177,-86.8179715,Loading...,Loading...
Berlin town,Alabama,INC,476,34.1863019,-86.7473148,Loading...,Loading...
Berry town,Alabama,INC,1216,33.6623032,-87.6079206,Loading...,Loading...
Bessemer city,Alabama,INC,26019,33.3710704,-86.9723289,Loading...,Loading...
Billingsley town,Alabama,INC,125,32.6609912,-86.7086656,Loading...,13.60664726
Birmingham city,Alabama,INC,200733,33.5275128,-86.7977756,Loading...,Loading...
Black town,Alabama,INC,221,31.0099352,-85.7440287,Loading...,Loading...
Blountsville town,Alabama,INC,1826,34.0814004,-86.5867606,Loading...,Loading...
Blue Springs town,Alabama,INC,84,31.6635156,-85.5035265,Loading...,Loading...
Boaz city,Alabama,INC,10107,34.1984698,-86.1528873,Loading...,Loading...
Boligee town,Alabama,INC,301,32.7699677,-88.0264536,Loading...,Loading...
Bon Air town,Alabama,INC,172,33.2620834,-86.331839,Loading...,Loading...
Brantley town,Alabama,INC,825,31.5822474,-86.2569235,Loading...,Loading...
Brent city,Alabama,INC,2972,32.9421254,-87.1753578,Loading...,Loading...
Brewton city,Alabama,INC,5276,31.1112968,-87.0736931,Loading...,Loading...
Bridgeport city,Alabama,INC,2264,34.9494897,-85.7243097,Loading...,Loading...
Brighton city,Alabama,INC,2337,33.4393627,-86.9451965,Loading...,Loading...
Brilliant town,Alabama,INC,845,34.0256705,-87.7690468,Loading...,Loading...
Brookside town,Alabama,INC,1253,33.6379427,-86.9013321,Loading...,Loading...
Brookwood town,Alabama,INC,2504,33.23978,-87.3277055,Loading...,Loading...
Brundidge city,Alabama,INC,2073,31.718223,-85.8178124,Loading...,Loading...
Butler town,Alabama,INC,1871,32.0964794,-88.2107807,Meridian cityMississippi,Loading...
Calera city,Alabama,INC,16494,33.1253809,-86.7447572,Loading...,Loading...
Camden city,Alabama,INC,1927,32.0006916,-87.296695,Loading...,Loading...
Camp Hill town,Alabama,INC,1006,32.8002169,-85.6536548,Loading...,16.28845882
Carbon Hill city,Alabama,INC,1769,33.8943989,-87.5224071,Loading...,Loading...
Cardiff town,Alabama,INC,52,33.6473069,-86.9306053,Loading...,Loading...
Carolina town,Alabama,INC,286,31.2336867,-86.522671,Loading...,Loading...
Carrollton town,Alabama,INC,1023,33.2618788,-88.0950742,Columbus cityMississippi,Loading...
Castleberry town,Alabama,INC,486,31.3001267,-87.0269513,Loading...,Loading...
Cedar Bluff town,Alabama,INC,1845,34.2216086,-85.5881832,Loading...,Loading...
Center Point city,Alabama,INC,16406,33.6446722,-86.6851163,Loading...,Loading...
Centre city,Alabama,INC,3587,34.1536948,-85.6689134,Loading...,Loading...
Centreville city,Alabama,INC,2800,32.9597106,-87.1333204,Loading...,Loading...
Chatom town,Alabama,INC,1104,31.4691454,-88.2460188,Loading...,Loading...
Chelsea city,Alabama,INC,14982,33.3261918,-86.6300541,Loading...,Loading...
Cherokee town,Alabama,INC,970,34.7577422,-87.9670249,Loading...,Loading...
Chickasaw city,Alabama,INC,6457,30.771484,-88.0793619,Loading...,Loading...
Childersburg city,Alabama,INC,4754,33.2962636,-86.345664,Loading...,Loading...
Citronelle city,Alabama,INC,3946,31.0951909,-88.2466979,Loading...,Loading...
Clanton city,Alabama,INC,8768,32.8443621,-86.6232841,Loading...,Loading...
Clay city,Alabama,INC,10291,33.6952303,-86.6087083,Loading...,Loading...
Clayhatchee town,Alabama,INC,466,31.2434341,-85.7135971,Loading...,Loading...
Clayton town,Alabama,INC,2265,31.8822767,-85.4604536,Loading...,Loading...
Cleveland town,Alabama,INC,1245,33.9964166,-86.5670394,Loading...,Loading...
Clio city,Alabama,INC,1220,31.7085533,-85.6109102,Loading...,Loading...
Coaling town,Alabama,INC,2035,33.1641285,-87.3533438,Loading...,Loading...
Coffee Springs town,Alabama,INC,206,31.1664009,-85.9103086,Loading...,Loading...
Coffeeville town,Alabama,INC,263,31.7665645,-88.0860494,Loading...,Loading...
Coker town,Alabama,INC,904,33.2445749,-87.6799561,Loading...,Loading...
Collinsville town,Alabama,INC,2059,34.2664068,-85.8678958,Loading...,Loading...
Colony town,Alabama,INC,264,33.941244,-86.9022474,Loading...,16.70150371
Columbia town,Alabama,INC,690,31.2967675,-85.1103087,Loading...,Loading...
Columbiana city,Alabama,INC,4462,33.1930042,-86.611413,Loading...,Loading...
Coosada town,Alabama,INC,1217,32.4983364,-86.3278858,Loading...,Loading...
Cordova city,Alabama,INC,1728,33.7613338,-87.192575,Loading...,Loading...
Cottonwood town,Alabama,INC,1048,31.0552596,-85.3007623,Loading...,Loading...
County Line town,Alabama,INC,311,33.8208174,-86.7194393,Loading...,Loading...
Courtland town,Alabama,INC,583,34.6703797,-87.3263488,Loading...,Loading...
Cowarts town,Alabama,INC,1930,31.2034282,-85.3057659,Loading...,Loading...
Creola city,Alabama,INC,1936,30.8902107,-88.0099915,Loading...,Loading...
Crossville town,Alabama,INC,1830,34.2852271,-85.9995591,Loading...,Loading...
Cuba town,Alabama,INC,306,32.4410438,-88.3755256,Loading...,Loading...
Cullman city,Alabama,INC,18213,34.1775196,-86.840664,Loading...,Loading...
Cusseta town,Alabama,INC,152,32.7876374,-85.3057688,Loading...,Loading...
Dadeville city,Alabama,INC,3084,32.8325866,-85.7674902,Loading...,Loading...
Daleville city,Alabama,INC,4866,31.2915332,-85.7117111,Loading...,Loading...
Daphne city,Alabama,INC,27462,30.6263292,-87.8815962,Loading...,Loading...
Dauphin Island town,Alabama,INC,1778,30.2564743,-88.2113475,Loading...,Loading...
Daviston town,Alabama,INC,174,33.0556977,-85.6371083,Loading...,Loading...
Dayton town,Alabama,INC,28,32.3509575,-87.6415726,Loading...,Loading...
Deatsville town,Alabama,INC,1679,32.5863422,-86.3917334,Loading...,5.872615789
Decatur city,Alabama,INC,57938,34.5730892,-86.9904647,Loading...,Loading...
Demopolis city,Alabama,INC,7162,32.4980229,-87.8298151,Loading...,Loading...
Detroit town,Alabama,INC,230,34.0273794,-88.1678308,Loading...,Loading...
Dodge City town,Alabama,INC,548,34.0444501,-86.8853047,Loading...,Loading...
Dora city,Alabama,INC,2297,33.7287889,-87.0841556,Loading...,Loading...
Dothan city,Alabama,INC,71072,31.2335302,-85.4069079,Loading...,Loading...
Double Springs town,Alabama,INC,1119,34.150177,-87.3909825,Loading...,21.8046079
Douglas town,Alabama,INC,761,34.1704367,-86.322438,Loading...,Loading...
Dozier town,Alabama,INC,285,31.5030838,-86.3693732,Loading...,Loading...
Dutton town,Alabama,INC,330,34.6061524,-85.9118498,Loading...,Loading...
East Brewton city,Alabama,INC,2293,31.0905393,-87.0555939,Loading...,Loading...
Eclectic town,Alabama,INC,1193,32.6387097,-86.0385847,Loading...,Loading...
Edwardsville town,Alabama,INC,206,33.8409761,-85.4523263,Loading...,Loading...
Elba city,Alabama,INC,3508,31.4172484,-86.0759286,Loading...,Loading...
Elberta town,Alabama,INC,1974,30.3855396,-87.5887942,Loading...,Loading...
Eldridge town,Alabama,INC,136,33.9220177,-87.6201082,Loading...,Loading...
Elkmont town,Alabama,INC,411,34.9288988,-86.9764945,Loading...,Loading...
Elmore town,Alabama,INC,1280,32.5552033,-86.3423845,Loading...,Loading...
Emelle town,Alabama,INC,32,32.7286776,-88.3164862,Loading...,Loading...
Enterprise city,Alabama,INC,28711,31.3275792,-85.8463357,Loading...,Loading...
Epes town,Alabama,INC,272,32.6905783,-88.1405932,Loading...,Loading...
Ethelsville town,Alabama,INC,49,33.4140664,-88.2160933,Loading...,Loading...
Eufaula city,Alabama,INC,12882,31.9102124,-85.1505382,Loading...,Loading...
Eutaw town,Alabama,INC,2937,32.8435898,-87.8986344,Loading...,Loading...
Eva town,Alabama,INC,589,34.3271401,-86.7613805,Loading...,Loading...
Evergreen city,Alabama,INC,3520,31.4342035,-86.9722482,Loading...,Loading...
Excel town,Alabama,INC,557,31.4263601,-87.3433039,Loading...,Loading...
Fairfield city,Alabama,INC,10000,33.4748306,-86.9192905,Loading...,Loading...
Fairhope city,Alabama,INC,22477,30.5214345,-87.8815053,Loading...,Loading...
Fairview town,Alabama,INC,543,34.2500886,-86.6845223,Loading...,Loading...
Falkville town,Alabama,INC,1197,34.3793303,-86.9085604,Hartselle cityAlabama,Loading...
Faunsdale town,Alabama,INC,90,32.4576144,-87.5937886,Loading...,Loading...
Fayette city,Alabama,INC,4285,33.6943022,-87.8307395,Loading...,Loading...
Five Points town,Alabama,INC,114,33.0173114,-85.351592,Loading...,Loading...
Flomaton town,Alabama,INC,1466,31.0126642,-87.2541922,Loading...,Loading...
Florala town,Alabama,INC,1923,31.0176179,-86.3137443,Loading...,Loading...
Florence city,Alabama,INC,40184,34.8303459,-87.6654228,Loading...,Loading...
Foley city,Alabama,INC,20335,30.398323,-87.6649641,Loading...,Loading...
Forkland town,Alabama,INC,445,32.6489046,-87.8671204,Loading...,Loading...
Fort Deposit town,Alabama,INC,1225,31.9862606,-86.5663586,Loading...,Loading...
Fort Payne city,Alabama,INC,14877,34.4559163,-85.6965158,Loading...,Loading...
Franklin town,Alabama,INC,590,32.4513439,-85.786384,Loading...,Loading...
Frisco City town,Alabama,INC,1170,31.4352591,-87.4037025,Loading...,Loading...
Fruithurst town,Alabama,INC,235,33.7295395,-85.4312488,Loading...,Loading...
Fulton town,Alabama,INC,223,31.7916036,-87.7396837,Loading...,Loading...
Fultondale city,Alabama,INC,9876,33.6175346,-86.8015324,Loading...,Loading...
Fyffe town,Alabama,INC,967,34.4489572,-85.905167,Loading...,Loading...
Gadsden city,Alabama,INC,33945,34.0086424,-86.015721,Loading...,Loading...
Gainesville town,Alabama,INC,172,32.814934,-88.1607913,Loading...,Loading...
Gantt town,Alabama,INC,196,31.40922,-86.4841511,Loading...,Loading...
Garden City town,Alabama,INC,528,34.0150256,-86.7492373,Loading...,Loading...
Gardendale city,Alabama,INC,16044,33.6677028,-86.8068441,Loading...,Loading...
Gaylesville town,Alabama,INC,170,34.2665717,-85.560191,Loading...,Loading...
Geiger town,Alabama,INC,155,32.8696488,-88.3131592,Loading...,Loading...
Geneva city,Alabama,INC,4245,31.0436633,-85.8763284,Loading...,Loading...
Georgiana town,Alabama,INC,1324,31.6391342,-86.7467621,Loading...,Loading...
Geraldine town,Alabama,INC,910,34.3578456,-86.0036707,Loading...,Loading...
Gilbertown town,Alabama,INC,739,31.8662468,-88.3075453,Meridian cityMississippi,Loading...
Glen Allen town,Alabama,INC,433,33.8920758,-87.7328923,Loading...,Loading...
Glencoe city,Alabama,INC,5372,33.9447752,-85.9318809,Loading...,Loading...
Glenwood town,Alabama,INC,152,31.6675405,-86.1729741,Loading...,Loading...
Goldville town,Alabama,INC,52,33.0841338,-85.7831301,Loading...,Loading...
Good Hope city,Alabama,INC,2483,34.1102475,-86.8662562,Loading...,Loading...
Goodwater town,Alabama,INC,1291,33.0608262,-86.0516187,Loading...,Loading...
Gordo town,Alabama,INC,1628,33.3220469,-87.9040326,Loading...,Loading...
Gordon town,Alabama,INC,294,31.1436055,-85.0925038,Loading...,Loading...
Gordonville town,Alabama,INC,245,32.148941,-86.6995056,Loading...,Loading...
Goshen town,Alabama,INC,269,31.718229,-86.12424,Loading...,Loading...
Grant town,Alabama,INC,1039,34.5187783,-86.2492215,Loading...,Loading...
Graysville city,Alabama,INC,1950,33.6582605,-86.967366,Loading...,Loading...
Greensboro city,Alabama,INC,2218,32.7014203,-87.5951156,Loading...,Loading...
Greenville city,Alabama,INC,7374,31.8436697,-86.6379167,Loading...,Loading...
Grimes town,Alabama,INC,573,31.299875,-85.4502892,Loading...,Loading...
Grove Hill town,Alabama,INC,1818,31.7005655,-87.7748343,Loading...,Loading...
Gu-Win town,Alabama,INC,141,33.9443303,-87.8703764,Loading...,Loading...
Guin city,Alabama,INC,2195,33.9832195,-87.9023629,Loading...,Loading...
Gulf Shores city,Alabama,INC,15014,30.2764401,-87.7012383,Loading...,Loading...
Guntersville city,Alabama,INC,8553,34.3670916,-86.2637481,Loading...,Loading...
Gurley town,Alabama,INC,816,34.7072112,-86.3767771,Loading...,Loading...
Hackleburg town,Alabama,INC,1425,34.2693064,-87.8303195,Loading...,Loading...
Haleburg town,Alabama,INC,112,31.4099758,-85.1380681,Loading...,12.83879224
Haleyville city,Alabama,INC,4361,34.2331112,-87.6174204,Loading...,Loading...
Hamilton city,Alabama,INC,7042,34.134526,-87.975486,Loading...,Loading...
Hammondville town,Alabama,INC,425,34.5687787,-85.6394359,Loading...,Loading...
Hanceville city,Alabama,INC,3217,34.0631534,-86.7644604,Loading...,Loading...
Harpersville town,Alabama,INC,1614,33.318399,-86.4286687,Loading...,Loading...
Hartford city,Alabama,INC,2651,31.1055215,-85.6915684,Loading...,Loading...
Hartselle city,Alabama,INC,15455,34.4391503,-86.9397054,Loading...,9.695182286
Hayden town,Alabama,INC,1342,33.8811231,-86.7859584,Loading...,Loading...
Hayneville town,Alabama,INC,830,32.1820901,-86.5786982,Loading...,Loading...
Headland city,Alabama,INC,4973,31.3501429,-85.3522993,Loading...,Loading...
Heath town,Alabama,INC,236,31.3578614,-86.4672506,Loading...,Loading...
Heflin city,Alabama,INC,3431,33.6470893,-85.5698539,Loading...,Loading...
Helena city,Alabama,INC,20914,33.2836553,-86.8789411,Loading...,Loading...
Henagar city,Alabama,INC,2292,34.6305973,-85.7413005,Loading...,Loading...
